Month,Ticker,Purchase Price,Month End or Close,Percent Change,Type
6/1/2018,ISNS,4.25,4.05,-0.047058824,hundredx
6/1/2018,ISDR,16.75,17.15,0.023880597,hundredx
6/1/2018,ISDR,16,17.15,0.071875,hundredx
6/1/2018,SLP,16.45,19.4,0.179331307,hundredx
6/1/2018,MARK,5.91,4.55,-0.230118443,hundredx
7/1/2018,HPE,15.33,14.61,-0.046966732,one_year
8/6/2018,X,33.14,32.06,-0.032589016,one_year
8/6/2018,SYNH,35.25,52.25,0.482269504,one_year
8/20/2018,LKM,1.64,1.1,-0.329268293,one_year
8/20/2018,LKM,1.94,1.1,-0.432989691,one_year
8/23/2018,ERIC,6.28,8.23,0.310509554,one_year
8/23/2018,ERIC,7.23,8.23,0.138312586,one_year
8/31/2018,DWCH,9.7,12.25,0.262886598,hundredx
8/31/2018,DWCH,9.5,12.25,0.289473684,hundredx
