Month,Ticker,Purchase Price,Month End or Close,Percent Change,Type
4/1/2018,LKM,1.64,1.94,0.182926829,one_year
4/1/2018,SYNH,35.25,38.1,0.080851064,one_year
4/1/2018,ERIC,6.28,7.55,0.202229299,one_year
4/1/2018,ISNS,4.25,4.5,0.058823529,hundredx
4/1/2018,ISDR,16.75,16,-0.044776119,hundredx
5/1/2018,LKM,1.64,1.12,-0.317073171,one_year
5/1/2018,LKM,1.94,1.12,-0.422680412,one_year
5/1/2018,JD,36.3,35.18,-0.030853994,one_year
5/1/2018,X,33.14,36.87,0.112552806,one_year
5/1/2018,SYNH,35.25,43,0.219858156,one_year
5/1/2018,ERIC,6.28,7.21,0.148089172,one_year
5/1/2018,ISDR,16.75,17.15,0.023880597,hundredx
5/1/2018,ISDR,16,17.15,0.071875,hundredx
5/1/2018,ISNS,4.25,4.05,-0.047058824,hundredx
5/1/2018,SLP,16.45,19.4,0.179331307,hundredx
5/1/2018,MARK,5.91,4.55,-0.230118443,hundredx
6/1/2018,DWCH,9.7,9.5,-0.020618557,hundredx
6/1/2018,RXII,2.47,1.93,-0.218623482,hundredx
6/1/2018,SPKE,10,9.75,-0.025,hundredx
6/1/2018,ARMK,38.97,37.1,-0.04798563,one_year
6/1/2018,ERIC,7.23,7.67,0.060857538,one_year
6/1/2018,HPE,15.33,14.61,-0.046966732,one_year
6/1/2018,LKM,1.64,1.14,-0.304878049,one_year
6/1/2018,LKM,1.94,1.14,-0.412371134,one_year
6/1/2018,JD,36.3,38.95,0.073002755,one_year
6/1/2018,X,33.14,34.75,0.048581774,one_year
6/1/2018,SYNH,35.25,46.9,0.330496454,one_year
6/1/2018,ERIC,6.28,7.67,0.22133758,one_year
7/1/2018,DWCH,9.7,,,
7/1/2018,RXII,2.47,,,
7/1/2018,SPKE,10,,,
7/1/2018,DWCH,,,,
7/1/2018,RXII,,,,
7/1/2018,SPKE,,,,
7/1/2018,ARMK,38.97,,,
7/1/2018,ERIC,7.23,,,
7/1/2018,LKM,1.64,,,
7/1/2018,LKM,1.94,,,
7/1/2018,JD,36.3,,,
7/1/2018,X,33.14,,,
7/1/2018,SYNH,35.25,,,
7/1/2018,ERIC,6.28,,,
7/1/2018,HTHT,,,,
7/1/2018,R,,,,
7/1/2018,LNG,,,,
